127.0.0.1 - - [31/May/2018:10:29:39 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [31/May/2018:10:29:40 +0900] "GET /HelloServlet/HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:10:30:07 +0900] "GET /HelloServlet/HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:10:30:46 +0900] "GET /HelloServlet/index.jsp HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [31/May/2018:10:30:49 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:10:30:52 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:10:30:54 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [31/May/2018:10:30:55 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:10:31:00 +0900] "GET /HelloServlet/TestServlet?username=aaa&password=aaa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [31/May/2018:10:31:05 +0900] "GET /HelloServlet/TestServlet?username=aaa&password=aaa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [31/May/2018:10:31:08 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [31/May/2018:10:31:12 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:10:33:42 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:10:33:45 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:10:33:51 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [31/May/2018:10:33:54 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [31/May/2018:10:33:56 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:10:43:15 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:13:00:48 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:13:01:01 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:13:02:36 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:13:02:39 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:13:02:50 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [31/May/2018:14:13:44 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:14:13:46 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [31/May/2018:14:13:48 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:14:13:51 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:14:13:54 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:16:48:30 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [31/May/2018:16:48:32 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:16:48:34 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:16:48:35 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:00 +0900] "GET /HelloServlet/index.jsp HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:39 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:41 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:44 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:47 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:50 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:53 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [31/May/2018:16:49:58 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [31/May/2018:16:50:00 +0900] "GET /HelloServlet/TestServlet?username=aaa&password= HTTP/1.1" 200 52
